Full Name,unicode
Eusebio Di Francesco,n10g3KfJ
Ante Coric,QalIHbEl
Daniele De Rossi,xjigzK81
Edin Dzeko,zilGmgZq
Stephan El Shaarawy,fFLge2V1
Bryan Cristante,t6u0o3h7
Alessandro Florenzi,8UwHPuvH
Juan Jesus,StHeGfTT
Aleksandar Kolarov,2XhnQxcG
Konstantinos Manolas,CbbEhEvI
Steven N'Zonzi,OUq8hfI7
Robin Olsen,SpWIlYGj
Davide Santon,8xvtP9Ll
Patrik Schick,WzQQSSfc
Cengiz Under,h2fbL8bG
Nicolo Zaniolo,0G7MtHBl
Justin Kluivert,fq4lU5sI
Javier Pastore,zJQlpJzt
Diego Perotti,Wx8pbtnB
Zan Celar,nmC7rb2Q
Daniel Fuzato,hY8G1T3f
Ivan Marcano,KtLO69NH
Antonio Mirante,2u1zBSC4
Luca Pellegrini,WKey0InR
Alessio Riccardi,ERcgdsdm
Luciano Spalletti,n3dg3lHR
Dalbert,005SL6KH
Radja Nainggolan,lUGgC8jg
Kwadwo Asamoah,IyH1Vh89
Keita Balde,AZjB6SRt
Marcelo Brozovic,I52LaWD8
Danilo D'Ambrosio,ShD3fHfH
Stefan de Vrij,8Cf0NM4a
Samir Handanovic,Y9j38DnN
Mauro Icardi,xKyjFkf6
Joao Mario,QLI33Ipl
Ivan Perisic,4AbKyVr9
Milan Skriniar,EqBuG0nE
Iglesias Borja Valero,ARDoodzq
Lautaro Martinez,QHk1CXUh
Matteo Politano,lxWZKRDD
Matias Vecino,AVysqrBE
Antonio Candreva,GWvcnYuo
Roberto Gagliardini,f1Ft78yl
Miranda,A9IyfaRd
Daniele Padelli,dWZccSvp
Andrea Ranocchia,S8endwQ4
Sime Vrsaljko,QeDP63jB
Massimiliano Allegri,lUkw2EZn
Andrea Barzagli,SlJHCt43
Leonardo Bonucci,zmOGDSwg
Giorgio Chiellini,K2KuC4Uu
Juan Cuadrado,AFefBpwI
Martin Caceres,2T435VVE
Joao Cancelo,dAyeWYpm
Douglas Costa,fPOJMEfo
Sami Khedira,0AgmLAwr
Mario Mandzukic,MV22As4p
Blaise Matuidi,CAWma17n
Mattia Perin,A3ZJNQg1
Miralem Pjanic,ObHi3HbL
Cristiano Ronaldo,WGOY4FSt
Daniele Rugani,zyoOMhpU
Leonardo Spinazzola,UgYYWt1i
Rodrigo Bentancur,nLRMnJtJ
Federico Bernardeschi,Ghmdi8ej
Emre Can,YJu3hSpk
Alex Sandro,hrkni8NN
Mattia De Sciglio,Ua5srQK6
Paulo Dybala,W4myUVXR
Moise Kean,QPclX9Uq
Carlo Pinsoglio,Uii1AJuK
Wojciech Szczesny,6NtwHZ7F
Roberto D'Aversa,MBrKQFV7
Alberto Grassi,E7Jj74nK
Luca Rigoni,0lnOPjCs
Francisco Sierralta,K8Ct7hb7
Bruno Alves,xIuzekJI
Antonino Barilla,IiXjdKkg
Alessandro Bastoni,On4TkPTN
Jonathan Biabiany,M1Xsnvs6
Riccardo Gagliolo,dnPEYiHb
Gervinho,d4iVZvEP
Simone Iacoponi,bmMKbGNr
Roberto Inglese,zeBH9p9c
Juraj Kucka,nkYbTmQO
Matteo Scozzarella,Whs9IPBI
Luigi Sepe,dvzcWaun
Luca Siligardi,GKEZ9V2E
Mattia Sprocati,KG0BF1zK
Leo Stulac,ziYCoya3
Fabrizio Bagheria,UR5FxyQD
Fabio Ceravolo,UmSKOBeH
Carl Davordzie,b5QubiA3
Jocopo Dezi,8rSBEmE9
Federico Dimarco,W6lypZn3
Pierluigi Frattali,U5ueIFMC
Marcello Gazzola,jH7NlUun
Massimo Gobbi,x4WvEljJ
Jose Machin,hfhlvfwf
Aurelio Andreazzoli,8SkYkEwh
Lorenzo Polvani,WG3dPYjc
Alejandro Rodriguez,WWgG4JWp
Frederic Veseli,APnvMol2
Afriyie Acquah,rR0GMYbT
Luca Antonelli,fiik3Ge2
Ismael Bennacer,KS8ySjGG
Francesco Caputo,8zNIfCYE
Giovanni Di Lorenzo,MP69NX2i
Rade Krunic,ANvd0rCA
Domenico Maietta,8GAxM9jt
Ivan Provedel,C6m92DF7
Matias Silvestre,hbiSFTeI
Hamed Junior Traore,Sr1MZT2U
Miha Zajc,Ch67DmvB
Antonio La Gumina,hxFdb12n
Manuel Pasqual,ALnEWV5m
Salih Ucan,rXAVmMSI
Matteo Brighi,bwmElch7
Leonardo Capezzi,ddvz0tcQ
Andrea Fulignati,pEUDpBZR
Arnel Jakupovic,ba9GduCC
Michal Marcjanik,EmuL1vQo
Samuel Mraz,U5vL9EPh
Jacob Rasmussen,0WoTUXCn
Pietro Terracciano,Wz2bzMVI
Joel Untersee,QBncY6Nk
Mehdi Benatia,n7X30ymN
William Bianda,nahVtTmk
Federico Fazio,vLIzTB4p
Lorenzo Pellegrini,8GVcLWJk
Rick Karsdorp,AHcPkS8q
Simone Inzaghi,j32a3mqs
Valon Berisha,thNNLVPe
Jordan Lukaku,SpQbwqNN
Wallace,nizlGfQf
Francesco Acerbi,SrhnSpzL
Bastos,Wj4tWad7
Felipe Caicedo,Eoeam8Xf
Joaquin Correa,IkcGiQBb
Lucas Leiva,t41Fn0KA
Luis Alberto,xbmYgaCa
Senad Lulic,GvgFvFtc
Adam Marusic,tC46HZrA
Sergej Milinkovic-Savic,pAWQ3AE3
Stefan Radu,K83sRIsA
Thomas Strakosha,I30e9nTO
Danilo Cataldi,IcuAZWW1
Ciro Immobile,4S9fNUYh
Marco Parolo,0lUCI6bq
Milan Badelj,4InuIizr
Riza Durmisi,vs0CxsNf
Guido Guerrieri,2ZzJ4vsq
Bruno Jordao,ATq3sA9T
Luiz Felipe,G2OoCE97
Pedro Neto,lxtnUkIP
Patric,YXwSY2Ef
Silvio Proto,zmdTpwvD
Romulo,6ThXK0sd
Gennaro Gattuso,4KygbMf9
Mattia Caldara,h2x8H16h
Andrea Conti,vTqdtP3j
Patrick Cutrone,vB6l1nu7
Ivan Strinic,2X4zNEPc
Lucas Biglia,pxMgdMvd
Giacomo Bonaventura,lxFZfQF4
Davide Calabria,OKPvQBOR
Hakan Calhanoglu,IRQeP5FJ
Gianluigi Donnarumma,WScbdXmL
Gonzalo Higuain,xpQl63zG
Franck Kessie,n7dQ4tBL
Mateo Musacchio,Em0lflWB
Ricardo Rodriguez,8EqrjqCF
Alessio Romagnoli,Wr49C0j4
Suso,Aexbrioc
Ignazio Abate,dIvO159A
Tiemoue Bakayoko,GAk8lVsQ
Samu Castillejo,O6bdhMA2
Andrea Bertolacci,lCHiBpCi
Fabio Borini,vgf4LRaj
Antonio Donnarumma,zZcNEj5Q
Diego Laxalt,nVWh7cet
Jose Mauri,GIIVeUW1
Pepe Reina,KrEhnvkN
Stefan Simic,E3qQ3DB5
Frank Tsadjout,QunHCDU2
Cristian Zapata,EeWTdvZu
Gian Piero Gasperini,EJLKYOzb
Marco Varnier,lYD8hHV2
Musa Barrow,ppDqdKi5
Timothy Castagne,xYfOMcA5
Marten de Roon,SUUtwXea
Remo Freuler,pETNY4Qt
Pierluigi Gollini,vZY7FZwP
Robin Gosens,r1EFsksF
Andrea Masiello,2empGF74
Jose Luis Palomino,2c7LCGJR
Papu Gomez,jD6cXvh5
Mario Pasalic,ld4iyqYa
Rafael Toloi,QB1RMomj
Josip Ilicic,4z2CNEqN
Emiliano Rigoni,48d2uq6N
Duvan Zapata,v7zQxVoD
Ali Adnan,GMGVIEbB
Etrit Berisha,UVnq6dH9
Berat Djimsiti,pW01mTt9
Hans Hateboer,Aok70rK9
Gianluca Mancini,dMy1KKlG
Matteo Pessina,Wj6lXM52
Francesco Rossi,tdfrZ6nG
Marco Tumminello,hGcUyrle
Luca Valzania,QHyaO4C2
Cedric,CEWQBLuG
Facundo Colidio,ML4WRWdE
Roberto De Zerbi,pYizckpN
Domenico Berardi,jHAnwQQB
,www.flashscore.com
Mehdi Bourabia,naRLspPI
Andrea Consigli,vBufhOaN
Filip Djuricic,pYHj9UAq
Alfred Duncan,tjm4dqgg
Gian Marco Ferrari,bX4esuFb
Pol Lirola,dYFeVggU
Manuel Locatelli,6RgXRdd8
Marlon Santos,0CDZUPof
Rogerio,OrlbhXJo
Khouma Babacar,8YTQNhQ9
Cristian Dell'Orco,YVxcLDAU
Federico Di Francesco,jJFZiKyI
Claud Adjapong,Kd0YupW3
Jeremie Boga,pEEqeFXD
Enrico Brignola,lbT6S5zM
Mauricio Lemos,jPE2JWgh
Francesco Magnanelli,nySwXAZC
Giangiacomo Magnani,WYdXC95U
Alessandro Matri,WIujsjfk
Gianluca Pegolo,ngfq4UgF
Stefano Sensi,dbqlLrFU
Andrea Colpani,d2DTOQlc
Enrico Del Prato,b7eKMEEo
Ibanez,tARMiREs
Roberto Piccoli,CK8QgVjh
Arkadiusz Reca,2kJoCbl9
Carlo Ancelotti,nZQG5IgJ
Raul Albiol,AkMslDtA
Amadou Diawara,2Hs3xiw6
Allan,hnFBS5hK
Jose Callejon,GtOw2z0j
Vlad Chiriches,WEmOjj2K
Elseid Hysaj,8z6PLSII
Kalidou Koulibaly,hSKz7qT3
Kevin Malcuit,8z1jdvom
Dries Mertens,dfIcigtg
Arkadiusz Milik,EskCwiLE
David Ospina,6PHywlJK
Fabian Ruiz,l6HSH2Uo
Piotr Zielinski,dlFNZSvb
Sebastiano Luperto,l6ZLUe9D
Simone Verdi,rP6cESXb
Amin Younes,pvMS7rI1
Gianluca Gaetano,nNOKUM6f
Faouzi Ghoulam,x2eF9dok
Lorenzo Insigne,6qUE0AeN
Orestis Karnezis,KxR6qZQd
Alex Meret,EBsz2tTd
Mario Rui,CnvwSKf9
Stefano Pioli,A72TGDlt
Cristiano Biraghi,h81ElhF9
Federico Chiesa,jHMlMUC4
Edimilson Fernandes,QRGkc05e
Gerson,fyS1Li1E
Alban Lafont,p64JKtYL
Nikola Milenkovic,xAEQS3wr
Luis Muriel,ltpb2uSG
German Pezzella,dIpXfWsl
Giovanni Simeone,6m566fII
Jordan Veretout,88twBgtc
Vitor Hugo,dI1epZfE
Bryan Dabo,OCAk3kof
Vincent Laurini,MJkUNiP9
Kevin Mirallas,v73ib9Ds
Marco Benassi,tIsl5l8c
Federico Brancolini,dfcCpneb
Federico Ceccherini,jB3DlO91
Bartlomiej Dragowski,jJkzJBbg
Valentin Eysseric,8phoc5ja
David Hancko,zRTnwHe5
Christian Norgaard,E3lsxLi7
Marko Pjaca,UgMPrQq6
Cyril Thereau,Ie7bvoaI
Marco Giampaolo,IPLkmtDP
Karol Linetty,KShlcp4N
Joachim Andersen,AmMLTTJU
Emil Audero,fwyieeh8
Gianluca Caprari,hM9I17fh
Albin Ekdal,pvRsgQl0
Jakub Jankto,6kvbBHqr
Nicola Murru,zH8sdfp0
Dennis Praet,dUXdn4vC
Fabio Quagliarella,l6rUQf2i
Gaston Ramirez,8Mgf8MLm
Jacopo Sala,ALImCQdo
Lorenzo Tonelli,2yFG2BO6
Gregoire Defrel,UkRwQ194
Manolo Gabbiadini,fwCMLZye
Riccardo Saponara,C0RyeQFh
Vid Belec,Ch9PJ0DK
Bartosz Bereszynski,rmvDqIY7
Omar Colley,W6rXCfCb
Alex Ferrari,p6nuqtZG
Junior Tavares,nLqNHp9i
Rafael Cabral,KCOJxFQ2
Vasco Regini,IyVZ8cwc
Gabriele Rolando,ATgs0aHD
Ronaldo Vieira,tUw2S8Tb
Marek Hamsik,AoWVYBUC
Nikola Maksimovic,2q9g9abc
Adam Ounas,EBaunUhF
Marko Rog,EcdOzaBB
Emanuele Torrasi,2ZxreLvE
Alen Halilovic,2FheGZdd
Riccardo Montolivo,bDXzFUzD
Alessandro Plizzari,WKRxlIbD
Alessandro Murgia,xApb61Yi
Dejan Kulusevski,fXLqHCYi
Davide Bettella,Ysk36pE4
Nicolo Cambiaghi,80NWC6K6
Lorenzo Peli,baFh6SRR
Igor Tudor,Qu12kvXf
Antonin Barak,CAayjMI3
Valon Behrami,OWx1zqfJ
Seko Fofana,f5FGGqhC
William Troost-Ekong,ERHHLdZn
Marco D'Alessandro,AuwJZqXT
Sebastien De Maio,vwQdsuRJ
Rodrigo de Paul,AZ6TTjDC
Kevin Lasagna,lEiQbqRi
