Venue,City,Team,Capacity
Stadio Olimpico,Rome,AS Roma,70 634
Allianz Stadium,Turin,Juventus,41 507
Stadio Carlo Castellani,Empoli,Empoli,16 284
Stadio Olimpico,Rome,Lazio,70 634
Stadio Giuseppe Meazza,Milan,AC Milan,80 018
Stadio Giuseppe Meazza,Milan,Inter,80 018
Stadio Diego Armando Maradona,Naples,Napoli,54 726
Stadio Artemio Franchi,Florence,Fiorentina,43 147
Gewiss Stadium,Bergamo,Atalanta,21 747
Stadio Luigi Ferraris,Genoa,Genoa,36 599
Unipol Domus,Cagliari,Cagliari,16 416
Bluenergy Stadium - Stadio Friuli,Udine,Udinese,25 144
Stadio Olimpico di Torino,Turin,Torino,28 177
Stadio Luigi Ferraris,Genoa,Sampdoria,36 599
Stadio Ennio Tardini,Parma,Parma,27 906
Stadio Benito Stirpe,Frosinone,Frosinone,16 227
Tottenham Hotspur Stadium,London,Tottenham,62 850
Etihad Stadium,Manchester,Manchester City,55 097
Turf Moor,Burnley,Burnley,22 546
Old Trafford,Manchester,Manchester Utd,75 635
Elland Road,Leeds,Leeds,37 792
Goodison Park,Liverpool,Everton,39 572
Carrow Road,Norwich,Norwich,27 137
Amex Stadium,Brighton,Brighton,31 876
London Stadium,London,West Ham,62 500
St. Mary's Stadium,Southampton,Southampton,32 384
King Power Stadium,Leicester,Leicester,32 261
Stamford Bridge,London,Chelsea,40 341
Emirates Stadium,London,Arsenal,60 704
Anfield,Liverpool,Liverpool,61 276
St. James' Park,Newcastle,Newcastle,52 305
Brentford Community Stadium,London,Brentford,17 250
Villa Park,Birmingham,Aston Villa,42 789
Vicarage Road,Watford,Watford,22 200
Selhurst Park,London,Crystal Palace,25 486
Stadio Ciro Vigorito,Benevento,Benevento,25 000
Stadio Alberto Picco,La Spezia,Spezia,11 466
Stadio Marc'Antonio Bentegodi,Verona,Verona,39 211
Stadio Renato Dall'Ara,Bologna,Bologna,38 279
Vitality Stadium,Bournemouth,Bournemouth,11 307
Molineux Stadium,Wolverhampton,Wolves,31 750
Bramall Lane,Sheffield,Sheffield Utd,32 050
Papara Park,Trabzon,Trabzonspor,40 782
Den Dreef,Heverlee,Royale Union SG,10 020
Vazgen Sargsyan Republican Stadium,Yerevan,Pyunik Yerevan,14 403
Red Bull Arena,Leipzig,RB Leipzig,47 069
Estádio da Luz,Lisbon,Benfica,64 642
Tofiq Bahramov Stadium,Baku,Qarabag,31 200
Allianz Arena,Munich,Bayern Munich,75 024
Doosan Arena,Plzen,Plzen,11 700
Estádio José Alvalade,Lisbon,Sporting CP,50 466
Stade Vélodrome,Marseille,Marseille,67 394
BayArena,Leverkusen,Bayer Leverkusen,30 210
Stadion Maksimir,Zagreb,D. Zagreb,35 423
Estádio do Dragão,Porto,FC Porto,50 033
Aspmyra Stadion,Bodø,Bodo/Glimt,8 270
AEK Arena,Larnaca,AEK Larnaca,8 058
Stadion Rajko Mitić,Belgrade,Crvena zvezda,53 000
Estadio Ramón Sánchez Pizjuán,Sevilla,Sevilla,42 714
Estadio Santiago Bernabéu,Madrid,Real Madrid,83 186
Jan Breydel Stadion,Brugge,Club Brugge KV,29 062
Parc des Princes,Paris,PSG,48 229
Celtic Park,Glasgow,Celtic,60 411
Signal Iduna Park,Dortmund,Dortmund,81 365
Red Bull Arena,Salzburg,Salzburg,30 188
Ibrox Stadium,Glasgow,Rangers,50 817
Philips Stadion,Eindhoven,PSV,35 000
Deutsche Bank Park,Frankfurt,Eintracht Frankfurt,58 000
Johan Cruijff Arena,Amsterdam,Ajax,55 865
Tehelné pole,Bratislava,Slovan Bratislava,22 500
