Venue,City,Team,Capacity
Maracanã,Rio de Janeiro,,78 838
Estádio Nacional Mané Garrincha,Brasília,,72 788
Mineirão,Belo Horizonte,,61 927
Arena das Dunas,Natal,,31 375
Arena Pernambuco,Recife,,44 248
Estádio José Pinheiro Borda,Porto Alegre,,50 600
Neo Quimica Arena,Sao Paulo,,49 205
Arena Pantanal,Cuiabá,,44 000
Arena Fonte Nova,Salvador,,47 907
Castelão,Fortaleza,,60 326
Ligga Arena,Curitiba,,42 372
Arena da Amazonia,Manaus,,44 300
Rostec Arena,Kaliningrad,,35 016
Yekaterinburg Arena,Yekaterinburg,,25 000
Mordovia Arena,Saransk,,44 442
Fisht Olympic Stadium,Sochi,,47 659
Nizhny Novgorod Stadium,Nizhny Novgorod,,44 899
Samara Arena,Samara,,44 918
Lukoil Arena,Moscow,,45 360
Volgograd Arena,Volgograd,,43 713
Ak Bars Arena,Kazan,,45 093
Rostov Arena,Rostov,,43 472
Khalifa International Stadium,Doha,,45 857
Education City Stadium,Al Rayyan,,44 667
Al Bayt Stadium,Al Khor,,68 895
Lusail Iconic Stadium,Lusail,,88 966
Stadium 974,Doha,,44 089
Al Janoub Stadium,Al Wakrah,,44 325
Al Thumama Stadium,Doha,,44 400
Ahmad bin Ali Stadium,Al Rayyan,,45 032
