2024-07-21 18:24:23.773 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '217'
2024-07-21 18:24:27.620 | ERROR    | Search:search_player:line:62 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 18:24:27.620 | ERROR    | Search:search_player:line:63 | Error ID: '217'
2024-07-21 18:24:31.533 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '1738'
2024-07-21 18:24:35.485 | ERROR    | Search:search_player:line:62 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 18:24:35.486 | ERROR    | Search:search_player:line:63 | Error ID: '1738'
2024-07-21 18:24:39.752 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3256'
2024-07-21 18:24:44.609 | ERROR    | Search:search_player:line:62 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 18:24:44.609 | ERROR    | Search:search_player:line:63 | Error ID: '3256'
2024-07-21 18:24:48.023 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3722'
2024-07-21 18:24:52.133 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Cristian_Bucchi'WHERE ID = 3722
2024-07-21 18:24:56.180 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3726'
2024-07-21 18:25:00.107 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Antonino_Ragusa'WHERE ID = 3726
2024-07-21 18:25:03.465 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3727'
2024-07-21 18:25:07.138 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Nicholas_Pierini'WHERE ID = 3727
2024-07-21 18:25:11.151 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3734'
2024-07-21 18:25:15.251 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Luca_Crecco'WHERE ID = 3734
2024-07-21 18:25:18.199 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3735'
2024-07-21 18:25:22.306 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Simone_Palombi'WHERE ID = 3735
2024-07-21 18:25:26.578 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3738'
2024-07-21 18:25:30.277 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Simone_Lo_Faso'WHERE ID = 3738
2024-07-21 18:25:33.876 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3739'
2024-07-21 18:25:36.957 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Maganji%C4%87'WHERE ID = 3739
