2024-07-21 18:06:02.454 | INFO     | Search:search_referee:line:78 | UPDATE referees SET referee_url = 'https://wikipedia.org/wiki/Gianluca_Rocchi', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Gianluca_Rocchi.jpg/150px-Gianluca_Rocchi.jpg' WHERE ID = 1
2024-07-21 18:06:02.458 | ERROR    | feapder.db.mysqldb:update:line:325 | 
                error:(1146, "Table 'soccer_database.referees' doesn't exist")
                sql:  UPDATE referees SET referee_url = 'https://wikipedia.org/wiki/Gianluca_Rocchi', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Gianluca_Rocchi.jpg/150px-Gianluca_Rocchi.jpg' WHERE ID = 1
            
2024-07-21 18:06:06.093 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '2'
2024-07-21 18:06:21.710 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Gianluca_Rocchi', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Gianluca_Rocchi.jpg/150px-Gianluca_Rocchi.jpg' WHERE ID = 1
2024-07-21 18:06:25.925 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '2'
2024-07-21 18:06:31.059 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2012%E2%80%9313_Coppa_Italia'WHERE ID = 2
2024-07-21 18:06:34.877 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '3'
2024-07-21 18:06:40.371 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2019_Supercoppa_Italiana'WHERE ID = 3
2024-07-21 18:06:46.526 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paolo_Mazzoleni', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Paolo_Silvio_Mazzoleni.jpg/180px-Paolo_Silvio_Mazzoleni.jpg' WHERE ID = 4
2024-07-21 18:06:52.222 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '5'
2024-07-21 18:06:56.773 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2011%E2%80%9312_Coppa_Italia'WHERE ID = 5
2024-07-21 18:07:01.098 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '6'
2024-07-21 18:07:06.170 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2025_UEFA_European_Under-21_Championship_qualification_Group_D'WHERE ID = 6
2024-07-21 18:07:10.935 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Daniele_Orsato', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Daniele_Orsato_2016_%28cropped%29.jpg/120px-Daniele_Orsato_2016_%28cropped%29.jpg' WHERE ID = 7
2024-07-21 18:07:16.329 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Marco_Di_Bello', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Marco_di_bello.jpg/150px-Marco_di_bello.jpg' WHERE ID = 8
2024-07-21 18:07:20.625 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '9'
2024-07-21 18:07:23.978 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Luca_Banti'WHERE ID = 9
2024-07-21 18:07:28.992 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '10'
2024-07-21 18:07:32.211 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Massimiliano_Irrati'WHERE ID = 10
2024-07-21 18:07:35.937 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '11'
2024-07-21 18:07:40.845 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023%E2%80%9324_Coppa_Italia'WHERE ID = 11
2024-07-21 18:07:43.830 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '12'
2024-07-21 18:07:48.713 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_qualifying_phase_and_play-off_round'WHERE ID = 12
2024-07-21 18:07:52.319 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/List_of_FIFA_international_referees', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Fifa_2022_badge.jpg/120px-Fifa_2022_badge.jpg' WHERE ID = 13
2024-07-21 18:07:56.643 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '14'
2024-07-21 18:08:01.462 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paolo_Valeri'WHERE ID = 14
2024-07-21 18:08:04.934 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '15'
2024-07-21 18:08:08.343 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2025_UEFA_European_Under-21_Championship_qualification_Group_C'WHERE ID = 15
