2024-07-21 18:36:11.483 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '1'
2024-07-21 18:36:11.483 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.483 | ERROR    | Search:search_team:line:158 | Error ID: '1'
2024-07-21 18:36:11.484 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '2'
2024-07-21 18:36:11.484 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.484 | ERROR    | Search:search_team:line:158 | Error ID: '2'
2024-07-21 18:36:11.484 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '3'
2024-07-21 18:36:11.484 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.485 | ERROR    | Search:search_team:line:158 | Error ID: '3'
2024-07-21 18:36:11.485 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '4'
2024-07-21 18:36:11.485 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.485 | ERROR    | Search:search_team:line:158 | Error ID: '4'
2024-07-21 18:36:11.485 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '5'
2024-07-21 18:36:11.486 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.486 | ERROR    | Search:search_team:line:158 | Error ID: '5'
2024-07-21 18:36:11.486 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '6'
2024-07-21 18:36:11.486 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.486 | ERROR    | Search:search_team:line:158 | Error ID: '6'
2024-07-21 18:36:11.487 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '7'
2024-07-21 18:36:11.487 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.487 | ERROR    | Search:search_team:line:158 | Error ID: '7'
2024-07-21 18:36:11.487 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '8'
2024-07-21 18:36:11.487 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:158 | Error ID: '8'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '9'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:158 | Error ID: '9'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '10'
2024-07-21 18:36:11.488 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.489 | ERROR    | Search:search_team:line:158 | Error ID: '10'
2024-07-21 18:36:11.489 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '11'
2024-07-21 18:36:11.489 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.489 | ERROR    | Search:search_team:line:158 | Error ID: '11'
2024-07-21 18:36:11.489 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '12'
2024-07-21 18:36:11.490 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.490 | ERROR    | Search:search_team:line:158 | Error ID: '12'
2024-07-21 18:36:11.490 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '13'
2024-07-21 18:36:11.490 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.490 | ERROR    | Search:search_team:line:158 | Error ID: '13'
2024-07-21 18:36:11.491 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '14'
2024-07-21 18:36:11.491 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.491 | ERROR    | Search:search_team:line:158 | Error ID: '14'
2024-07-21 18:36:11.491 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '15'
