2024-07-21 19:18:53.141 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '1'
2024-07-21 19:18:57.932 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:18:57.932 | ERROR    | Search:search_venue:line:204 | Error ID: '1'
2024-07-21 19:19:01.099 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '2'
2024-07-21 19:19:03.744 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:03.744 | ERROR    | Search:search_venue:line:204 | Error ID: '2'
2024-07-21 19:19:08.905 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '3'
2024-07-21 19:19:12.058 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:12.058 | ERROR    | Search:search_venue:line:204 | Error ID: '3'
2024-07-21 19:19:16.761 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '4'
2024-07-21 19:19:20.111 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:20.112 | ERROR    | Search:search_venue:line:204 | Error ID: '4'
2024-07-21 19:19:25.782 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '5'
2024-07-21 19:19:28.028 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:28.028 | ERROR    | Search:search_venue:line:204 | Error ID: '5'
2024-07-21 19:19:30.802 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '6'
2024-07-21 19:19:32.976 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:32.976 | ERROR    | Search:search_venue:line:204 | Error ID: '6'
2024-07-21 19:19:38.389 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '7'
2024-07-21 19:19:41.745 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:41.745 | ERROR    | Search:search_venue:line:204 | Error ID: '7'
2024-07-21 19:19:44.706 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '8'
2024-07-21 19:19:46.801 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:46.802 | ERROR    | Search:search_venue:line:204 | Error ID: '8'
2024-07-21 19:19:52.128 | ERROR    | Search:search_venue:line:188 | Lack of venue_image_url for ID: '9'
2024-07-21 19:19:56.329 | ERROR    | Search:search_venue:line:203 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-21 19:19:56.329 | ERROR    | Search:search_venue:line:204 | Error ID: '9'
2024-07-24 10:54:53.980 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Olimpico', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Stadio_Olimpico_2024.jpg/180px-Stadio_Olimpico_2024.jpg' WHERE ID = 1
2024-07-24 10:54:56.805 | ERROR    | Search:search_venue:line:189 | Lack of venue_image_url for ID: '2'
2024-07-24 10:54:58.953 | ERROR    | Search:search_venue:line:204 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-24 10:54:58.954 | ERROR    | Search:search_venue:line:205 | Error ID: '2'
2024-07-24 10:55:02.081 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Carlo_Castellani', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Empoli_-_maratona_dello_Stadio_Castellani.jpg/200px-Empoli_-_maratona_dello_Stadio_Castellani.jpg' WHERE ID = 3
2024-07-24 10:55:03.894 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Olimpico', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Stadio_Olimpico_2024.jpg/180px-Stadio_Olimpico_2024.jpg' WHERE ID = 4
2024-07-24 10:55:06.787 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/San_Siro', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Stadio_Meazza_2021_3.jpg/150px-Stadio_Meazza_2021_3.jpg' WHERE ID = 5
2024-07-24 10:55:10.094 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/San_Siro', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Stadio_Meazza_2021_3.jpg/150px-Stadio_Meazza_2021_3.jpg' WHERE ID = 6
2024-07-24 10:55:13.149 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Diego_Armando_Maradona', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stadio_Maradona_Serie_A.jpg/200px-Stadio_Maradona_Serie_A.jpg' WHERE ID = 7
2024-07-24 10:55:16.042 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Artemio_Franchi', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/180px-Soccer_in_Florence%2C_Italy%2C_2007.jpg' WHERE ID = 8
